Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_Status,Housing_Type,Age,Employed_Year,Work_Phone,Phone,Email_Id,Type_Occupation,Family_Members,Label
F,N,Y,0,225000.0,Pensioner,Secondary,Single,House,64.0,-0.0,0,0,0,Others,1,1
F,N,Y,0,225000.0,Pensioner,Secondary,Single,House,64.0,-0.0,0,0,0,Others,1,1
F,N,Y,0,225000.0,Pensioner,Secondary,Single,House,64.0,-0.0,0,0,0,Others,1,1
F,N,Y,1,157500.0,Commercial associate,Secondary,Single,House,43.0,7.0,0,1,0,Low-skill Laborers,3,1
F,N,Y,1,157500.0,Pensioner,Secondary,Single,House,43.0,7.0,0,1,0,Low-skill Laborers,3,1
F,N,Y,1,67500.0,Commercial associate,Secondary,Married,House,52.0,12.0,0,0,0,Accountants,3,1
M,Y,N,1,180000.0,Commercial associate,Secondary,Married,House,31.0,4.0,0,0,0,Laborers,3,1
M,Y,N,1,180000.0,Commercial associate,Secondary,Married,House,31.0,4.0,0,0,0,Laborers,3,1
M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single,House,32.0,1.0,1,1,0,High skill tech staff,1,1
M,Y,N,1,135000.0,Working,Secondary,Married,House,27.0,3.0,0,0,0,Laborers,3,1
M,Y,N,1,135000.0,Working,Secondary,Married,House,27.0,3.0,0,0,0,Laborers,3,1
F,N,Y,0,103500.0,Working,Secondary,Married,House,29.0,2.0,0,0,1,IT staff,2,1
F,N,Y,0,103500.0,Working,Secondary,Married,House,29.0,2.0,0,0,1,IT staff,2,1
M,Y,Y,0,225000.0,Working,Secondary,Married,House,50.0,10.0,0,0,0,Drivers,2,1
M,Y,Y,0,225000.0,Working,Secondary,Married,House,50.0,10.0,0,0,0,Drivers,2,1
M,Y,Y,0,225000.0,Working,Secondary,Married,House,50.0,10.0,0,0,0,Drivers,2,1
F,Y,Y,0,180000.0,Commercial associate,Secondary,Married,House,52.0,6.0,1,0,0,Managers,2,1
M,N,N,1,157500.0,Working,Secondary,Married,House,45.0,4.0,0,0,0,Drivers,3,1
M,N,N,1,157500.0,Working,Secondary,Married,House,45.0,4.0,0,0,0,Drivers,1,1
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House,68.0,-0.0,0,0,0,Others,1,1
M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House,68.0,-0.0,0,0,0,Others,1,1
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House,68.0,-0.0,0,0,0,Others,1,1
M,N,Y,0,65250.0,Pensioner,Higher education,Married,House,58.0,-0.0,0,0,0,Others,2,1
M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House,65.0,-0.0,0,0,0,Others,2,1
F,N,Y,0,225000.0,Pensioner,Secondary,Married,Municipal apartment,60.0,-0.0,0,1,0,Others,2,1
F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House,25.0,5.0,0,0,1,Waiters,3,1
M,N,N,1,180000.0,Working,Secondary,Single,House,36.0,1.0,0,0,0,Laborers,2,1
F,Y,Y,0,202500.0,Working,Higher education,Married,House,42.0,11.0,0,0,0,High skill tech staff,2,1
F,N,N,0,157500.0,Commercial associate,Secondary,Married,House,53.0,5.0,0,0,0,Others,2,1
F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,27.0,8.0,0,0,0,Laborers,3,1
F,Y,Y,1,270000.0,Working,Higher education,Separated,House,39.0,1.0,0,1,0,Sales staff,2,1
F,Y,N,0,135000.0,Commercial associate,Secondary,Married,House,38.0,8.0,0,0,0,Others,2,1
F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House,31.0,5.0,1,0,0,Accountants,2,1
F,Y,Y,0,256500.0,Commercial associate,Higher education,Single,House,31.0,5.0,1,0,0,Accountants,2,1
M,N,Y,0,157500.0,Working,Secondary,Married,House,43.0,4.0,0,0,0,Core staff,2,1
F,N,N,2,225000.0,Commercial associate,Secondary,Married,House,40.0,14.0,0,0,0,High skill tech staff,4,1
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House,34.0,10.0,1,0,0,Others,3,1
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House,34.0,10.0,1,0,0,Others,3,1
M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,0,0,0,Laborers,2,1
M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,0,0,0,Laborers,2,1
M,Y,N,0,202500.0,Working,Secondary,Married,With parents,38.0,4.0,0,0,0,Laborers,2,1
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House,52.0,4.0,0,0,0,Managers,2,1
F,Y,N,0,225000.0,Working,Higher education,Married,House,56.0,7.0,1,1,0,Accountants,2,1
M,N,Y,1,126000.0,Commercial associate,Secondary,Civil marriage,House,35.0,6.0,0,0,0,Others,3,1
M,Y,Y,0,135000.0,Working,Secondary,Married,House,30.0,1.0,0,0,0,Laborers,2,1
M,Y,Y,0,135000.0,Working,Secondary,Married,House,30.0,1.0,0,0,0,Laborers,2,1
M,Y,Y,2,247500.0,Working,Secondary,Married,House,48.0,2.0,0,0,0,Laborers,4,1
F,N,N,0,103500.0,Pensioner,Secondary,Married,House,61.0,-0.0,0,0,0,Others,2,1
M,N,N,1,85500.0,State servant,Secondary,Married,Municipal apartment,42.0,19.0,0,0,0,Core staff,3,1
F,N,N,0,135000.0,Working,Secondary,Widow,Co-op apartment,55.0,2.0,0,0,0,Core staff,1,1
F,N,N,0,135000.0,Working,Secondary,Widow,Co-op apartment,55.0,2.0,0,0,0,Core staff,1,1
F,N,Y,0,180000.0,Working,Lower secondary,Widow,House,47.0,7.0,1,1,0,Cleaning staff,1,1
M,Y,N,0,180000.0,Working,Secondary,Single,House,45.0,2.0,0,0,0,Laborers,1,1
M,N,Y,0,225000.0,Pensioner,Secondary,Widow,House,63.0,-0.0,0,0,0,Others,1,1
M,N,N,0,225000.0,Working,Secondary,Widow,Municipal apartment,54.0,1.0,0,0,0,Security staff,1,1
F,N,N,0,67500.0,Pensioner,Secondary,Widow,House,64.0,-0.0,0,1,0,Others,1,1
F,Y,N,0,135000.0,Pensioner,Secondary,Married,House,64.0,-0.0,0,1,0,Others,2,1
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,32.0,5.0,1,1,0,Others,3,1
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,32.0,5.0,1,1,0,Others,3,1
F,N,Y,0,202500.0,Working,Secondary,Married,House,40.0,10.0,0,0,0,Core staff,2,1
F,N,Y,0,202500.0,Working,Secondary,Married,House,40.0,10.0,0,0,0,Core staff,2,1
F,N,Y,0,202500.0,Working,Secondary,Married,House,40.0,10.0,0,0,0,Core staff,2,1
F,N,Y,0,202500.0,Working,Secondary,Married,House,40.0,10.0,0,0,0,Core staff,2,1
F,N,Y,0,202500.0,Working,Secondary,Single,House,40.0,10.0,0,0,0,Core staff,2,1
M,Y,Y,0,126000.0,Working,Higher education,Single,House,40.0,3.0,1,0,0,Managers,1,1
M,Y,Y,0,126000.0,Working,Higher education,Single,House,40.0,3.0,1,0,0,Managers,1,1
F,N,Y,0,180000.0,Pensioner,Secondary,Married,House,63.0,-0.0,0,0,0,Others,2,1
F,N,Y,0,180000.0,Pensioner,Secondary,Married,House,63.0,-0.0,0,0,0,Others,2,1
F,N,Y,0,180000.0,Pensioner,Secondary,Married,House,63.0,-0.0,0,0,0,Others,2,1
F,N,Y,1,157500.0,Commercial associate,Secondary,Married,House,36.0,11.0,1,1,0,Laborers,3,1
F,N,N,0,81000.0,Pensioner,Secondary,Separated,House,61.0,-0.0,0,1,0,Others,1,1
F,N,N,0,81000.0,Pensioner,Secondary,Widow,House,66.0,-0.0,0,1,0,Others,1,1
F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,-0.0,0,0,0,Others,2,1
F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,-0.0,0,0,0,Others,2,1
F,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,-0.0,0,0,0,Others,2,1
F,N,N,0,112500.0,Pensioner,Secondary,Single,Municipal apartment,59.0,-0.0,0,0,0,Others,2,1
M,N,N,0,112500.0,Pensioner,Secondary,Married,Municipal apartment,59.0,-0.0,0,0,0,Others,2,1
F,N,Y,0,72000.0,Working,Secondary,Married,House,50.0,3.0,0,1,0,Laborers,2,1
F,N,N,1,202500.0,Working,Secondary,Separated,House,39.0,1.0,0,0,0,Laborers,2,1
F,N,Y,0,148500.0,Pensioner,Secondary,Married,House,58.0,-0.0,0,0,0,Others,2,1
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House,45.0,2.0,0,1,0,High skill tech staff,2,1
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House,45.0,2.0,0,1,0,High skill tech staff,2,1
M,N,Y,0,270000.0,Commercial associate,Secondary,Single,Municipal apartment,50.0,5.0,0,0,0,Cooking staff,1,1
M,Y,N,1,135000.0,Commercial associate,Secondary,Single,House,36.0,5.0,0,1,0,Laborers,3,1
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,28.0,6.0,1,0,0,Sales staff,4,1
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House,56.0,2.0,0,0,0,Security staff,2,1
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House,56.0,2.0,0,0,0,Security staff,2,1
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House,56.0,2.0,0,0,0,Security staff,2,1
F,N,Y,0,135000.0,State servant,Higher education,Single,Municipal apartment,30.0,6.0,0,0,0,Core staff,1,1
F,N,Y,0,135000.0,State servant,Higher education,Single,Municipal apartment,30.0,6.0,0,0,0,Core staff,1,1
M,Y,Y,0,195750.0,Working,Secondary,Married,House,52.0,3.0,1,1,0,Laborers,2,1
M,Y,Y,1,112500.0,Working,Secondary,Married,House,45.0,3.0,1,1,0,Drivers,3,1
M,Y,Y,1,112500.0,Working,Secondary,Married,House,45.0,3.0,1,1,0,Drivers,3,1
F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House,52.0,2.0,0,1,0,Core staff,1,1
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House,52.0,2.0,0,1,0,Core staff,1,1
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House,52.0,2.0,0,1,0,Core staff,1,1
M,N,N,1,216000.0,Working,Secondary,Married,Municipal apartment,36.0,7.0,0,0,1,Laborers,3,1
F,N,Y,0,306000.0,Pensioner,Higher education,Married,House,60.0,-0.0,0,0,0,Others,2,1
F,N,Y,0,90000.0,Pensioner,Secondary,Married,House,61.0,-0.0,0,0,0,Others,2,1
M,Y,Y,0,225000.0,Working,Secondary,Single,House,28.0,1.0,0,0,1,Managers,1,1
F,N,Y,1,108000.0,Working,Secondary,Married,House,35.0,4.0,1,1,0,Sales staff,3,1
F,N,Y,0,135000.0,Working,Secondary,Married,House,56.0,5.0,0,0,0,Security staff,2,1
F,N,Y,0,135000.0,Working,Secondary,Widow,House,40.0,3.0,0,1,0,Managers,1,1
M,Y,N,0,108000.0,Working,Secondary,Married,Office apartment,48.0,3.0,0,0,0,Security staff,2,1
M,Y,N,0,108000.0,Working,Secondary,Married,Office apartment,48.0,3.0,0,0,0,Security staff,2,1
M,Y,Y,0,315000.0,Working,Secondary,Married,House,48.0,7.0,0,0,0,Managers,2,1
F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House,34.0,4.0,0,1,1,Medicine staff,2,1
F,N,Y,0,157500.0,Pensioner,Higher education,Married,House,34.0,4.0,0,1,1,Medicine staff,2,1
F,N,Y,1,81000.0,Working,Secondary,Married,Municipal apartment,44.0,18.0,1,1,0,Cleaning staff,3,0
M,Y,N,0,225000.0,Commercial associate,Secondary,Married,House,49.0,7.0,0,0,0,Laborers,2,0
F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House,36.0,1.0,0,1,1,Sales staff,2,0
F,N,N,1,135000.0,Working,Secondary,Married,House,45.0,9.0,0,0,1,Private service staff,3,0
F,N,Y,1,63000.0,Commercial associate,Secondary,Married,House,40.0,9.0,0,0,0,Sales staff,3,0
F,N,Y,0,135000.0,Working,Secondary,Married,House,48.0,6.0,0,0,0,Laborers,2,0
F,N,Y,0,112500.0,Pensioner,Secondary,Single,House,67.0,-0.0,0,0,0,Others,1,0
F,N,Y,0,112500.0,Working,Higher education,Married,House,32.0,3.0,1,0,0,Core staff,2,0
F,N,Y,0,45000.0,Pensioner,Secondary,Married,House,61.0,-0.0,0,1,0,Others,2,0
F,N,Y,0,202500.0,Pensioner,Secondary,Married,House,57.0,-0.0,0,0,0,Others,2,0
M,N,Y,1,180000.0,Working,Lower secondary,Married,House,29.0,5.0,1,0,0,Others,3,0
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House,59.0,5.0,0,0,1,Core staff,2,0
F,N,Y,0,90000.0,Working,Secondary,Single,House,41.0,2.0,0,0,0,Others,1,0
F,N,Y,0,180000.0,Commercial associate,Secondary,Single,House,41.0,2.0,0,0,0,Others,1,0
F,N,N,0,90000.0,Commercial associate,Secondary,Single,House,30.0,3.0,0,0,0,Sales staff,1,0
F,N,Y,0,135000.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,0,0,Others,2,0
M,N,Y,0,126000.0,Pensioner,Secondary,Married,Rented apartment,46.0,-0.0,0,0,0,Others,2,0
F,N,N,0,126000.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,0,0,Others,2,0
F,N,Y,1,337500.0,Working,Academic degree,Single,House,35.0,8.0,0,0,0,Others,2,0
M,Y,Y,0,90000.0,Working,Secondary,Married,House,34.0,5.0,0,0,0,Core staff,2,0
M,Y,Y,0,131400.0,Pensioner,Secondary,Married,House,65.0,-0.0,0,0,0,Others,2,0
M,N,N,0,180000.0,Commercial associate,Secondary,Civil marriage,Rented apartment,40.0,9.0,0,0,0,Laborers,2,0
F,N,Y,0,247500.0,Pensioner,Secondary,Widow,House,68.0,-0.0,0,0,0,Others,1,0
F,N,Y,0,121500.0,Working,Secondary,Married,With parents,37.0,15.0,1,1,0,Core staff,2,0
F,N,Y,1,117000.0,Working,Lower secondary,Widow,House,49.0,9.0,0,1,0,Others,2,0
F,N,Y,2,90000.0,Working,Secondary,Married,House,28.0,1.0,0,0,0,Security staff,4,0
M,Y,N,0,112500.0,Working,Secondary,Married,House,28.0,3.0,0,0,0,Laborers,2,0
F,Y,N,0,180000.0,Commercial associate,Secondary,Married,House,46.0,3.0,0,1,0,Others,2,0
F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House,36.0,4.0,0,0,1,Others,4,0
M,N,Y,1,234000.0,Working,Secondary,Married,House,33.0,5.0,0,0,0,Laborers,3,0
M,Y,Y,0,247500.0,State servant,Secondary,Married,Municipal apartment,56.0,3.0,1,0,1,High skill tech staff,2,0
F,N,Y,2,144000.0,Working,Secondary,Married,House,39.0,8.0,1,1,0,Private service staff,4,0
M,Y,Y,2,180000.0,Working,Higher education,Married,House,37.0,7.0,0,0,0,Managers,4,0
F,N,Y,1,216000.0,Working,Higher education,Single,House,29.0,5.0,0,1,0,Core staff,2,0
F,N,Y,0,90000.0,Commercial associate,Secondary,Married,House,42.0,2.0,0,0,0,Core staff,2,0
F,N,Y,0,171000.0,Pensioner,Higher education,Married,House,55.0,-0.0,0,0,0,Others,2,0
M,Y,N,0,180000.0,Working,Secondary,Married,Municipal apartment,52.0,4.0,1,0,0,Drivers,2,0
F,N,N,0,225000.0,Pensioner,Higher education,Separated,House,61.0,-0.0,0,0,0,Others,1,0
M,N,N,2,225000.0,Working,Incomplete higher,Married,House,39.0,1.0,0,0,0,Others,4,0
M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House,32.0,7.0,0,1,0,Others,1,0
F,N,Y,0,67050.0,Pensioner,Higher education,Married,House,67.0,-0.0,0,0,0,Others,2,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House,30.0,2.0,0,0,0,Drivers,2,0
F,Y,Y,0,112500.0,Working,Secondary,Married,House,48.0,5.0,0,0,0,Sales staff,2,0
F,Y,N,0,144000.0,Working,Secondary,Widow,House,40.0,4.0,0,0,0,HR staff,1,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House,34.0,11.0,0,0,0,Core staff,2,0
F,N,N,0,112500.0,Working,Secondary,Married,House,41.0,3.0,1,1,0,Accountants,2,0
F,Y,N,1,292500.0,State servant,Higher education,Married,House,44.0,8.0,0,1,0,Core staff,3,0
M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,House,28.0,8.0,0,0,0,Laborers,2,0
M,Y,Y,0,157500.0,Commercial associate,Secondary,Single,Municipal apartment,28.0,6.0,1,0,0,Laborers,1,0
F,N,Y,0,157500.0,Working,Secondary,Separated,House,51.0,5.0,0,0,0,Sales staff,1,0
F,N,Y,0,157500.0,Working,Secondary,Married,House,42.0,7.0,0,0,0,Others,2,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House,28.0,7.0,0,0,0,Others,3,0
F,N,N,2,112500.0,Commercial associate,Secondary,Married,House,33.0,4.0,0,1,0,Others,4,0
M,Y,N,0,202500.0,Working,Secondary,Married,House,44.0,14.0,0,1,0,Drivers,2,0
F,N,Y,0,193500.0,Working,Secondary,Separated,House,53.0,7.0,1,1,1,Laborers,1,0
F,Y,Y,0,108000.0,Working,Secondary,Separated,House,48.0,3.0,0,0,1,Cleaning staff,1,0
F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House,40.0,5.0,0,0,0,Laborers,2,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House,40.0,5.0,0,1,0,Others,2,0
M,Y,N,0,270000.0,Pensioner,Higher education,Married,House,65.0,-0.0,0,0,0,Others,2,0
M,N,Y,1,292500.0,Working,Secondary,Married,House,46.0,5.0,0,0,0,Laborers,3,0
F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House,38.0,18.0,0,1,0,Medicine staff,4,0
F,N,N,0,76500.0,Working,Secondary,Married,House,47.0,1.0,1,0,0,Others,2,0
F,N,Y,0,157500.0,Working,Secondary,Single,House,30.0,4.0,0,0,0,Secretaries,1,0
M,Y,N,0,180000.0,Working,Secondary,Single,With parents,24.0,2.0,0,0,0,Others,1,0
F,N,Y,0,135000.0,Pensioner,Secondary,Married,House,63.0,-0.0,0,1,0,Others,2,0
M,N,Y,2,360000.0,State servant,Higher education,Married,House,44.0,16.0,0,1,0,Managers,4,0
F,N,Y,0,157500.0,Working,Secondary,Married,House,58.0,5.0,0,0,0,Laborers,2,0
F,Y,Y,0,225000.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,0,0,Others,2,0
F,N,N,0,112500.0,Working,Secondary,Married,House,53.0,16.0,1,1,0,Core staff,2,0
F,Y,N,0,121500.0,Pensioner,Secondary,Single,House,64.0,-0.0,0,0,0,Others,1,0
M,N,Y,0,202500.0,Commercial associate,Lower secondary,Married,Rented apartment,27.0,6.0,0,1,0,Sales staff,2,0
F,Y,N,0,112500.0,State servant,Secondary,Widow,House,54.0,17.0,0,0,0,Secretaries,1,0
F,Y,Y,2,135000.0,Working,Higher education,Married,House,34.0,2.0,0,0,0,Accountants,4,0
F,N,Y,0,103500.0,Commercial associate,Secondary,Married,House,47.0,5.0,1,1,0,Sales staff,2,0
F,N,Y,0,157500.0,Working,Secondary,Married,House,55.0,13.0,0,0,0,Laborers,2,0
M,Y,N,0,337500.0,Working,Secondary,Single,With parents,32.0,10.0,0,0,0,Core staff,1,0
F,Y,Y,0,180000.0,State servant,Secondary,Married,House,57.0,11.0,0,0,0,Medicine staff,2,0
F,N,Y,0,112500.0,Pensioner,Secondary,Married,House,59.0,-0.0,0,0,0,Others,2,0
F,N,N,0,157500.0,Working,Higher education,Married,House,32.0,1.0,0,0,0,Managers,2,0
M,Y,N,0,360000.0,State servant,Higher education,Married,House,28.0,6.0,0,0,0,Others,2,0
F,N,N,1,135000.0,Commercial associate,Secondary,Married,House,34.0,2.0,0,0,0,Managers,3,0
M,Y,Y,0,337500.0,Working,Higher education,Separated,House,37.0,2.0,0,0,0,Laborers,1,0
F,N,Y,0,135000.0,Pensioner,Secondary,Married,House,47.0,-0.0,0,0,0,Others,2,0
F,N,N,1,360000.0,Commercial associate,Higher education,Civil marriage,House,41.0,6.0,0,0,0,Sales staff,3,0
M,N,N,0,270000.0,Working,Secondary,Married,With parents,33.0,2.0,1,1,0,Laborers,2,0
F,N,N,0,270000.0,Commercial associate,Higher education,Single,House,44.0,15.0,0,0,0,Sales staff,1,0
F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House,65.0,-0.0,0,0,0,Others,2,0
F,N,Y,0,112500.0,Commercial associate,Secondary,Single,House,36.0,18.0,1,0,0,Sales staff,1,0
M,Y,N,0,292500.0,Commercial associate,Secondary,Married,House,58.0,8.0,0,0,0,Others,2,0
F,N,Y,0,247500.0,Commercial associate,Secondary,Married,House,54.0,3.0,0,0,0,Others,2,0
F,N,N,0,157500.0,Working,Secondary,Single,With parents,25.0,3.0,0,0,0,Sales staff,1,0
M,Y,N,0,225000.0,Working,Secondary,Single,House,33.0,4.0,0,0,0,Drivers,1,0
F,N,Y,0,94500.0,Commercial associate,Incomplete higher,Married,House,38.0,10.0,1,1,0,Sales staff,2,0
M,N,N,0,81000.0,Working,Secondary,Civil marriage,House,39.0,1.0,1,0,0,Low-skill Laborers,2,0
F,Y,Y,0,180000.0,Commercial associate,Secondary,Married,House,46.0,7.0,0,0,0,Sales staff,2,0
F,N,Y,2,198000.0,Commercial associate,Incomplete higher,Separated,House,43.0,8.0,0,0,0,Others,3,0
M,Y,Y,0,315000.0,Commercial associate,Secondary,Married,Rented apartment,47.0,6.0,0,0,0,Drivers,2,0
F,N,Y,0,67500.0,Working,Secondary,Single,House,50.0,1.0,0,0,0,Laborers,2,0
F,N,Y,1,180000.0,Commercial associate,Secondary,Civil marriage,House,33.0,9.0,0,0,0,Realty agents,3,0
F,N,N,1,202500.0,Commercial associate,Secondary,Separated,House,30.0,9.0,0,0,0,Sales staff,2,0
F,N,N,1,112500.0,Working,Secondary,Married,House,33.0,14.0,1,0,0,Others,3,0
M,Y,N,0,306000.0,Working,Secondary,Married,House,44.0,5.0,0,0,0,Managers,2,0
F,N,Y,1,90000.0,Working,Secondary,Married,House,45.0,11.0,0,0,1,Sales staff,3,0
F,N,Y,2,270000.0,Commercial associate,Higher education,Civil marriage,House,31.0,11.0,0,0,0,Laborers,4,0
F,Y,Y,1,270000.0,Working,Secondary,Married,House,40.0,13.0,0,0,0,Laborers,3,0
M,N,Y,1,234000.0,Working,Secondary,Married,House,33.0,5.0,0,0,0,Laborers,3,0
M,N,N,2,171000.0,Working,Secondary,Married,Municipal apartment,38.0,16.0,1,1,0,Core staff,4,0
F,N,N,0,225000.0,Commercial associate,Secondary,Married,House,29.0,5.0,0,0,0,Laborers,2,0
F,N,N,0,94500.0,Working,Higher education,Married,House,47.0,1.0,0,0,0,Security staff,2,0
F,N,N,0,117000.0,Commercial associate,Secondary,Single,With parents,28.0,2.0,0,0,0,Sales staff,1,0
M,Y,Y,0,180000.0,Commercial associate,Secondary,Married,House,59.0,5.0,0,0,0,Drivers,2,0
F,Y,Y,0,202500.0,Commercial associate,Secondary,Married,House,55.0,6.0,0,0,0,Sales staff,2,0
F,N,N,0,54000.0,Pensioner,Secondary,Single,House,56.0,-0.0,0,0,0,Others,1,0
F,N,Y,0,112500.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,0,0,Others,2,0
M,Y,Y,0,85500.0,Pensioner,Secondary,Married,House,61.0,-0.0,0,1,0,Others,2,0
M,N,N,0,135000.0,Working,Secondary,Married,House,47.0,5.0,0,0,0,Drivers,2,0
M,N,Y,0,157500.0,Working,Secondary,Single,House,23.0,5.0,1,1,0,Core staff,1,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,0,0,0,Core staff,1,0
M,N,Y,0,180000.0,Working,Secondary,Married,House,28.0,4.0,0,0,1,Sales staff,2,0
F,Y,N,0,72000.0,Working,Secondary,Married,House,42.0,1.0,1,1,0,Medicine staff,2,0
M,N,N,0,180000.0,Commercial associate,Higher education,Single,House,26.0,5.0,0,0,0,High skill tech staff,1,0
M,Y,N,0,270000.0,Working,Higher education,Married,House,51.0,14.0,0,0,0,Managers,2,0
F,Y,N,0,202500.0,Working,Higher education,Married,House,38.0,8.0,0,0,0,Accountants,2,0
F,Y,N,2,360000.0,Working,Incomplete higher,Married,House,35.0,7.0,0,0,0,Accountants,4,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House,34.0,1.0,0,0,0,Others,2,0
F,N,N,0,270000.0,Working,Secondary,Married,House,49.0,5.0,1,1,0,High skill tech staff,2,0
